GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Parent POM/utils,de.larssh.utils.dom,XPathExpressions,38,0,0,0,6,0,6,0,6,0
Parent POM/utils,de.larssh.utils.dom,NodeLists,29,0,4,0,7,0,3,0,1,0
Parent POM/utils,de.larssh.utils.io,PeekableReader,59,124,10,20,18,29,13,11,4,5
Parent POM/utils,de.larssh.utils.io,ResourcePathException,7,0,0,0,2,0,1,0,1,0
Parent POM/utils,de.larssh.utils.io,PeekableReader.ReaderState,0,34,0,0,0,4,0,1,0,1
Parent POM/utils,de.larssh.utils.io,MultiReader,119,0,22,0,26,0,15,0,4,0
Parent POM/utils,de.larssh.utils.io,MultiInputStream,132,0,22,0,33,0,15,0,4,0
Parent POM/utils,de.larssh.utils.io,ProcessBuilders,21,251,11,37,2,47,9,22,0,7
Parent POM/utils,de.larssh.utils.io,Resources,184,162,8,8,31,26,20,13,13,12
Parent POM/utils,de.larssh.utils,Completable,12,0,2,0,5,0,3,0,2,0
Parent POM/utils,de.larssh.utils,OptionalInts,167,0,34,0,17,0,35,0,18,0
Parent POM/utils,de.larssh.utils,Finals.CachingSupplier,27,0,4,0,6,0,4,0,2,0
Parent POM/utils,de.larssh.utils,AutoCompletable,3,0,0,0,2,0,1,0,1,0
Parent POM/utils,de.larssh.utils,Optionals,348,0,54,0,61,0,61,0,34,0
Parent POM/utils,de.larssh.utils,SystemUtils,39,119,2,0,4,29,5,1,4,1
Parent POM/utils,de.larssh.utils,OptionalLongs,175,0,34,0,17,0,35,0,18,0
Parent POM/utils,de.larssh.utils,Collectors,43,19,0,0,7,4,7,4,7,4
Parent POM/utils,de.larssh.utils,Finals,5,2,0,0,1,1,1,1,1,1
Parent POM/utils,de.larssh.utils,TooManyElementsException,5,0,0,0,2,0,1,0,1,0
Parent POM/utils,de.larssh.utils,SneakyException,4,5,0,0,2,2,0,2,0,2
Parent POM/utils,de.larssh.utils,CompletedException,5,0,0,0,2,0,1,0,1,0
Parent POM/utils,de.larssh.utils,OptionalDoubles,175,0,34,0,17,0,35,0,18,0
Parent POM/utils,de.larssh.utils,Either,0,102,0,10,0,19,0,16,0,11
Parent POM/utils,de.larssh.utils,Nullables,91,10,20,2,22,2,18,3,8,2
Parent POM/utils,de.larssh.utils.collection,ProxiedCollection.new ProxiedIterator() {...},11,0,0,0,2,0,2,0,2,0
Parent POM/utils,de.larssh.utils.collection,Iterators.ElementsSupplierIterator,59,0,10,0,16,0,9,0,4,0
Parent POM/utils,de.larssh.utils.collection,ProxiedListIterator,46,0,2,0,15,0,10,0,9,0
Parent POM/utils,de.larssh.utils.collection,ProxiedList.new ProxiedListIterator() {...},11,0,0,0,2,0,2,0,2,0
Parent POM/utils,de.larssh.utils.collection,ProxiedList.new ProxiedListIterator() {...},11,0,0,0,2,0,2,0,2,0
Parent POM/utils,de.larssh.utils.collection,ProxiedList.new ProxiedList() {...},11,0,0,0,2,0,2,0,2,0
Parent POM/utils,de.larssh.utils.collection,ProxiedMap.1.new ProxiedIterator() {...},22,0,0,0,3,0,3,0,3,0
Parent POM/utils,de.larssh.utils.collection,ProxiedMap,108,0,2,0,24,0,21,0,20,0
Parent POM/utils,de.larssh.utils.collection,ProxiedMap.new ProxiedCollection() {...},11,0,0,0,2,0,2,0,2,0
Parent POM/utils,de.larssh.utils.collection,ProxiedMap.new ProxiedSet() {...},11,0,0,0,2,0,2,0,2,0
Parent POM/utils,de.larssh.utils.collection,ProxiedMap.new ProxiedSet() {...},51,0,0,0,7,0,7,0,7,0
Parent POM/utils,de.larssh.utils.collection,Maps.Builder,90,15,0,0,24,4,12,3,12,3
Parent POM/utils,de.larssh.utils.collection,ProxiedCollection,90,0,2,0,21,0,19,0,18,0
Parent POM/utils,de.larssh.utils.collection,Enumerations,17,0,2,0,2,0,4,0,3,0
Parent POM/utils,de.larssh.utils.collection,ProxiedIterator,34,0,2,0,10,0,8,0,7,0
Parent POM/utils,de.larssh.utils.collection,PeekableIterator,4,0,0,0,1,0,1,0,1,0
Parent POM/utils,de.larssh.utils.collection,ProxiedMap.ProxiedEntry,30,0,2,0,7,0,6,0,5,0
Parent POM/utils,de.larssh.utils.collection,ProxiedList,85,0,2,0,18,0,14,0,13,0
Parent POM/utils,de.larssh.utils.collection,ProxiedSet,20,0,2,0,7,0,4,0,3,0
Parent POM/utils,de.larssh.utils.collection,Streams,62,0,4,0,14,0,8,0,6,0
Parent POM/utils,de.larssh.utils.collection,Iterators.ElementsSupplierState,34,0,0,0,4,0,1,0,1,0
Parent POM/utils,de.larssh.utils.collection,Iterators,34,0,4,0,6,0,7,0,5,0
Parent POM/utils,de.larssh.utils.collection,Maps,22,5,0,0,3,1,3,1,3,1
Parent POM/utils,de.larssh.utils.net,SecureConnections,97,0,2,0,25,0,9,0,8,0
Parent POM/utils,de.larssh.utils.net,InsecureConnections,14,0,0,0,3,0,4,0,4,0
Parent POM/utils,de.larssh.utils.net,GlobalProxyConfiguration,162,0,0,0,25,0,10,0,10,0
Parent POM/utils,de.larssh.utils.net,InsecureConnections.TrustManagerThatDoesNotVerifyCertificates,18,0,0,0,10,0,9,0,9,0
Parent POM/utils,de.larssh.utils.text,CsvParser,96,228,12,62,19,52,8,38,2,7
Parent POM/utils,de.larssh.utils.text,StringConverters,225,0,20,0,44,0,24,0,14,0
Parent POM/utils,de.larssh.utils.text,NumericTextComparator.NumericTextComparatorContext,383,0,72,0,64,0,47,0,11,0
Parent POM/utils,de.larssh.utils.text,Lines,179,0,20,0,35,0,21,0,11,0
Parent POM/utils,de.larssh.utils.text,SplitLimit,13,0,0,0,2,0,1,0,1,0
Parent POM/utils,de.larssh.utils.text,NumericTextComparator,31,0,6,0,5,0,5,0,2,0
Parent POM/utils,de.larssh.utils.text,Csv,168,13,8,0,31,2,21,1,17,1
Parent POM/utils,de.larssh.utils.text,Characters,0,106,0,32,0,14,0,25,0,9
Parent POM/utils,de.larssh.utils.text,SentenceFormatter,217,0,16,0,43,0,14,0,6,0
Parent POM/utils,de.larssh.utils.text,CsvRow,59,0,6,0,11,0,8,0,5,0
Parent POM/utils,de.larssh.utils.text,Lines.GroupedLineType,34,0,0,0,4,0,1,0,1,0
Parent POM/utils,de.larssh.utils.text,Patterns,51,0,4,0,6,0,6,0,4,0
Parent POM/utils,de.larssh.utils.text,ParseException,14,0,0,0,4,0,2,0,2,0
Parent POM/utils,de.larssh.utils.text,Strings,702,225,94,0,129,14,81,6,34,6
Parent POM/utils,de.larssh.utils.time,Stopwatch,152,0,16,0,21,0,18,0,10,0
Parent POM/utils,de.larssh.utils.time,CloseableStopwatch,67,0,4,0,16,0,8,0,6,0
Parent POM/utils,de.larssh.utils.time,Stopwatch.Checkpoint,56,0,0,0,7,0,8,0,8,0
Parent POM/utils,de.larssh.utils.time,LoggingStopwatch,98,0,2,0,20,0,12,0,11,0
Parent POM/utils,de.larssh.utils.time,LoggingStopwatch.StringLoggingStopwatchMode,173,0,8,0,23,0,15,0,11,0
Parent POM/utils,de.larssh.utils.function,ThrowingSupplier,5,6,0,0,1,3,0,2,0,2
Parent POM/utils,de.larssh.utils.function,ThrowingRunnable,12,0,0,0,6,0,2,0,2,0
Parent POM/utils,de.larssh.utils.function,ThrowingFunction,5,7,0,0,1,3,0,2,0,2
Parent POM/utils,de.larssh.utils.function,ThrowingConsumer,5,8,0,0,1,5,0,2,0,2
Parent POM/utils,de.larssh.utils.xml,XmlReadingFeatures.Xerces.General,141,0,0,0,35,0,1,0,1,0
Parent POM/utils,de.larssh.utils.xml,XmlReadingFeatures.Xerces.SAX,41,0,0,0,10,0,1,0,1,0
Parent POM/utils,de.larssh.utils.xml,TransformerFactoryAttributes.Xalan,16,0,0,0,3,0,1,0,1,0
Parent POM/utils,de.larssh.utils.xml,TransformerOutputProperties.Xalan,16,0,0,0,5,0,1,0,1,0
Parent POM/utils,de.larssh.utils.xml,XmlReadingProperty,15,0,0,0,3,0,3,0,3,0
